output from f300 physics lab - angles,powers
0.000000000000000000e+00,2.999999999999999889e-02
1.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,4.000000000000000083e-02
3.000000000000000000e+01,2.000000000000000111e-01
4.000000000000000000e+01,4.000000000000000222e-01
5.000000000000000000e+01,6.700000000000000400e-01
6.000000000000000000e+01,9.200000000000000400e-01
7.000000000000000000e+01,1.159999999999999920e+00
8.000000000000000000e+01,1.340000000000000080e+00
9.000000000000000000e+01,1.459999999999999964e+00
1.000000000000000000e+02,1.489999999999999991e+00
1.100000000000000000e+02,1.429999999999999938e+00
1.200000000000000000e+02,1.280000000000000027e+00
1.300000000000000000e+02,1.070000000000000062e+00
1.400000000000000000e+02,8.399999999999999689e-01
1.500000000000000000e+02,5.600000000000000533e-01
1.600000000000000000e+02,3.300000000000000155e-01
1.700000000000000000e+02,1.300000000000000044e-01
1.800000000000000000e+02,2.000000000000000042e-02
1.900000000000000000e+02,0.000000000000000000e+00
2.000000000000000000e+02,2.999999999999999889e-02
2.100000000000000000e+02,2.000000000000000111e-01
2.200000000000000000e+02,4.000000000000000222e-01
2.300000000000000000e+02,6.500000000000000222e-01
2.400000000000000000e+02,9.200000000000000400e-01
2.500000000000000000e+02,1.169999999999999929e+00
2.600000000000000000e+02,1.389999999999999902e+00
2.700000000000000000e+02,1.500000000000000000e+00
2.800000000000000000e+02,1.550000000000000044e+00
2.900000000000000000e+02,1.489999999999999991e+00
3.000000000000000000e+02,1.340000000000000080e+00
3.100000000000000000e+02,1.139999999999999902e+00
3.200000000000000000e+02,8.599999999999999867e-01
3.300000000000000000e+02,6.099999999999999867e-01
3.400000000000000000e+02,3.400000000000000244e-01
3.500000000000000000e+02,1.499999999999999944e-01
