output from f300 physics lab - angles,powers
0.000000000000000000e+00,1.000000000000000021e-02
1.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000278e-02
3.000000000000000000e+01,1.900000000000000022e-01
4.000000000000000000e+01,4.299999999999999933e-01
5.000000000000000000e+01,6.899999999999999467e-01
6.000000000000000000e+01,9.699999999999999734e-01
7.000000000000000000e+01,1.229999999999999982e+00
8.000000000000000000e+01,1.409999999999999920e+00
9.000000000000000000e+01,1.550000000000000044e+00
1.000000000000000000e+02,1.560000000000000053e+00
1.100000000000000000e+02,1.510000000000000009e+00
1.200000000000000000e+02,1.360000000000000098e+00
1.300000000000000000e+02,1.129999999999999893e+00
1.400000000000000000e+02,8.800000000000000044e-01
1.500000000000000000e+02,5.899999999999999689e-01
1.600000000000000000e+02,3.499999999999999778e-01
1.700000000000000000e+02,1.499999999999999944e-01
1.800000000000000000e+02,1.000000000000000021e-02
1.900000000000000000e+02,0.000000000000000000e+00
2.000000000000000000e+02,2.999999999999999889e-02
2.100000000000000000e+02,2.000000000000000111e-01
2.200000000000000000e+02,4.099999999999999756e-01
2.300000000000000000e+02,6.800000000000000488e-01
2.400000000000000000e+02,9.699999999999999734e-01
2.500000000000000000e+02,1.219999999999999973e+00
2.600000000000000000e+02,1.459999999999999964e+00
2.700000000000000000e+02,1.580000000000000071e+00
2.800000000000000000e+02,1.629999999999999893e+00
2.900000000000000000e+02,1.570000000000000062e+00
3.000000000000000000e+02,1.409999999999999920e+00
3.100000000000000000e+02,1.199999999999999956e+00
3.200000000000000000e+02,9.100000000000000311e-01
3.300000000000000000e+02,6.500000000000000222e-01
3.400000000000000000e+02,3.599999999999999867e-01
3.500000000000000000e+02,1.700000000000000122e-01
